task,target_day,business_day,business_period,ds,hour_business,period,y_true,actual_available_at,source_file
realtime,2026-07-22,2026-07-22,54,2026-07-22 13:30:00,14,33_64,12.201,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-23,2026-07-23,67,2026-07-23 16:45:00,17,65_96,411.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-21,2026-07-21,3,2026-07-21 00:45:00,1,1_32,442.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-21,2026-07-21,1,2026-07-21 00:15:00,1,1_32,449.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-08-04,2026-08-04,5,2026-08-04 01:15:00,2,1_32,563.293,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,49,2026-07-19 12:15:00,13,33_64,-32.344,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-21,2026-07-21,26,2026-07-21 06:30:00,7,1_32,399.375,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,9,2026-07-20 02:15:00,3,1_32,450.96,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,73,2026-07-20 18:15:00,19,65_96,774.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-21,2026-07-21,51,2026-07-21 12:45:00,13,33_64,327.998,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
